campaign,date,spend,impressions,reach,clicks,searches,view_content,add_to_cart,purchase,group,ctr,view_rate,atc_rate,cr,purchase_rate,revenue,revenue_per_session,cpa,roas
Control Campaign,2019-08-17,2177,119612.0,106518.0,6628.0,1756.0,1642.0,878.0,222.0,Control,0.05541250041801826,0.24773687386843693,0.5347137637028014,0.03349426674713337,0.2528473804100228,11100.0,1.6747133373566687,9.806306306306306,5.098759761139182
Control Campaign,2019-08-18,1876,108452.0,96518.0,7253.0,2447.0,2115.0,1695.0,243.0,Control,0.0668775126323166,0.2916034744243761,0.8014184397163121,0.033503377912587895,0.1433628318584071,12150.0,1.6751688956293946,7.720164609053498,6.476545842217484
Control Campaign,2019-08-19,2596,107890.0,81268.0,3706.0,2483.0,2098.0,908.0,542.0,Control,0.03434980072295857,0.5661090124123044,0.432793136320305,0.14624932541824068,0.5969162995594713,27100.0,7.312466270912035,4.789667896678967,10.439137134052388
Control Campaign,2019-08-20,2675,113430.0,78625.0,2578.0,1001.0,848.0,1709.0,299.0,Control,0.02272767345499427,0.32893716058960437,2.015330188679245,0.11598138091543832,0.17495611468695144,14950.0,5.799069045771916,8.946488294314381,5.588785046728972
Control Campaign,2019-08-21,1803,74654.0,59873.0,5691.0,2711.0,2496.0,1460.0,800.0,Control,0.07623168216036649,0.4385872430152873,0.5849358974358975,0.14057283429977158,0.547945205479452,40000.0,7.028641714988578,2.25375,22.185246810870773
Control Campaign,2019-08-22,2939,105705.0,86218.0,6843.0,3102.0,2988.0,819.0,387.0,Control,0.06473676741875975,0.4366505918456817,0.2740963855421687,0.05655414291977203,0.4725274725274725,19350.0,2.8277071459886014,7.594315245478036,6.583872065328343
Control Campaign,2019-08-23,2496,129880.0,109413.0,4410.0,2896.0,2496.0,1913.0,766.0,Control,0.03395441946412073,0.5659863945578232,0.766426282051282,0.17369614512471657,0.40041819132253004,38300.0,8.684807256235828,3.258485639686684,15.344551282051283
Control Campaign,2019-08-24,1892,72515.0,51987.0,4085.0,1274.0,1149.0,1146.0,585.0,Control,0.056333172447079916,0.2812729498164015,0.9973890339425587,0.14320685434516525,0.5104712041884817,29250.0,7.160342717258262,3.2341880341880342,15.45983086680761
Control Campaign,2019-08-25,1962,117006.0,100398.0,4234.0,2423.0,2096.0,883.0,386.0,Control,0.03618617848657334,0.49504015115729805,0.42127862595419846,0.09116674539442607,0.43714609286523215,19300.0,4.558337269721304,5.082901554404145,9.836901121304791
Control Campaign,2019-08-26,2233,124897.0,98432.0,5435.0,2847.0,2421.0,1448.0,251.0,Control,0.04351585706622257,0.44544618215271387,0.5980999586947542,0.04618215271389144,0.17334254143646408,12550.0,2.309107635694572,8.896414342629482,5.620241827138379
Control Campaign,2019-08-27,2061,104678.0,91579.0,4941.0,3549.0,3249.0,980.0,605.0,Control,0.04720189533617379,0.6575591985428051,0.30163127116035704,0.12244484922080551,0.6173469387755102,30250.0,6.122242461040275,3.406611570247934,14.67734109655507
Control Campaign,2019-08-28,2421,141654.0,125874.0,6287.0,1672.0,1589.0,1711.0,643.0,Control,0.04438279187315572,0.25274375695880386,1.076777847702958,0.10227453475425481,0.3758036236119229,32150.0,5.1137267377127404,3.765163297045101,13.279636513837257
Control Campaign,2019-08-29,2375,92029.0,74192.0,8127.0,4891.0,4219.0,1486.0,334.0,Control,0.0883091199513197,0.5191337516918912,0.3522161649680019,0.04109757598129691,0.22476446837146702,16700.0,2.0548787990648454,7.110778443113772,7.031578947368421
Control Campaign,2019-08-30,2324,111306.0,88632.0,4658.0,1615.0,1249.0,442.0,670.0,Control,0.04184859755987997,0.268140832975526,0.35388310648518817,0.14383855732073852,1.5158371040723981,33500.0,7.1919278660369255,3.4686567164179105,14.414802065404475
