campaign,date,spend,impressions,reach,clicks,searches,view_content,add_to_cart,purchase,group,ctr,view_rate,atc_rate,cr,purchase_rate,revenue,revenue_per_session,cpa,roas
Control Campaign,2019-08-17,2177,119612.0,106518.0,6628.0,1756.0,1642.0,878.0,222.0,Control,0.05541250041801826,0.24773687386843693,0.5347137637028014,0.03349426674713337,0.2528473804100228,11100.0,1.6747133373566687,9.806306306306306,5.098759761139182
Control Campaign,2019-08-18,1876,108452.0,96518.0,7253.0,2447.0,2115.0,1695.0,243.0,Control,0.0668775126323166,0.2916034744243761,0.8014184397163121,0.033503377912587895,0.1433628318584071,12150.0,1.6751688956293946,7.720164609053498,6.476545842217484
Control Campaign,2019-08-19,2596,107890.0,81268.0,3706.0,2483.0,2098.0,908.0,542.0,Control,0.03434980072295857,0.5661090124123044,0.432793136320305,0.14624932541824068,0.5969162995594713,27100.0,7.312466270912035,4.789667896678967,10.439137134052388
Control Campaign,2019-08-20,2675,113430.0,78625.0,2578.0,1001.0,848.0,1709.0,299.0,Control,0.02272767345499427,0.32893716058960437,2.015330188679245,0.11598138091543832,0.17495611468695144,14950.0,5.799069045771916,8.946488294314381,5.588785046728972
Control Campaign,2019-08-21,1803,74654.0,59873.0,5691.0,2711.0,2496.0,1460.0,800.0,Control,0.07623168216036649,0.4385872430152873,0.5849358974358975,0.14057283429977158,0.547945205479452,40000.0,7.028641714988578,2.25375,22.185246810870773
Control Campaign,2019-08-22,2939,105705.0,86218.0,6843.0,3102.0,2988.0,819.0,387.0,Control,0.06473676741875975,0.4366505918456817,0.2740963855421687,0.05655414291977203,0.4725274725274725,19350.0,2.8277071459886014,7.594315245478036,6.583872065328343
Control Campaign,2019-08-23,2496,129880.0,109413.0,4410.0,2896.0,2496.0,1913.0,766.0,Control,0.03395441946412073,0.5659863945578232,0.766426282051282,0.17369614512471657,0.40041819132253004,38300.0,8.684807256235828,3.258485639686684,15.344551282051283
Control Campaign,2019-08-24,1892,72515.0,51987.0,4085.0,1274.0,1149.0,1146.0,585.0,Control,0.056333172447079916,0.2812729498164015,0.9973890339425587,0.14320685434516525,0.5104712041884817,29250.0,7.160342717258262,3.2341880341880342,15.45983086680761
Control Campaign,2019-08-25,1962,117006.0,100398.0,4234.0,2423.0,2096.0,883.0,386.0,Control,0.03618617848657334,0.49504015115729805,0.42127862595419846,0.09116674539442607,0.43714609286523215,19300.0,4.558337269721304,5.082901554404145,9.836901121304791
Control Campaign,2019-08-26,2233,124897.0,98432.0,5435.0,2847.0,2421.0,1448.0,251.0,Control,0.04351585706622257,0.44544618215271387,0.5980999586947542,0.04618215271389144,0.17334254143646408,12550.0,2.309107635694572,8.896414342629482,5.620241827138379
Control Campaign,2019-08-27,2061,104678.0,91579.0,4941.0,3549.0,3249.0,980.0,605.0,Control,0.04720189533617379,0.6575591985428051,0.30163127116035704,0.12244484922080551,0.6173469387755102,30250.0,6.122242461040275,3.406611570247934,14.67734109655507
Control Campaign,2019-08-28,2421,141654.0,125874.0,6287.0,1672.0,1589.0,1711.0,643.0,Control,0.04438279187315572,0.25274375695880386,1.076777847702958,0.10227453475425481,0.3758036236119229,32150.0,5.1137267377127404,3.765163297045101,13.279636513837257
Control Campaign,2019-08-29,2375,92029.0,74192.0,8127.0,4891.0,4219.0,1486.0,334.0,Control,0.0883091199513197,0.5191337516918912,0.3522161649680019,0.04109757598129691,0.22476446837146702,16700.0,2.0548787990648454,7.110778443113772,7.031578947368421
Control Campaign,2019-08-30,2324,111306.0,88632.0,4658.0,1615.0,1249.0,442.0,670.0,Control,0.04184859755987997,0.268140832975526,0.35388310648518817,0.14383855732073852,1.5158371040723981,33500.0,7.1919278660369255,3.4686567164179105,14.414802065404475
Test Campaign,2019-08-01,3008,39550.0,35820.0,3038.0,1946.0,1069.0,894.0,255.0,Test,0.0768141592920354,0.3518762343647136,0.8362956033676333,0.08393680052666228,0.28523489932885904,12750.0,4.196840026333114,11.79607843137255,4.238696808510638
Test Campaign,2019-08-02,2542,100719.0,91236.0,4657.0,2359.0,1548.0,879.0,677.0,Test,0.04623755200111201,0.3324028344427743,0.5678294573643411,0.14537255744041228,0.770193401592719,33850.0,7.268627872020614,3.75480059084195,13.316286388670338
Test Campaign,2019-08-03,2365,70263.0,45198.0,7885.0,2572.0,2367.0,1268.0,578.0,Test,0.11222122596530179,0.30019023462270134,0.5356991972961554,0.07330374128091313,0.4558359621451104,28900.0,3.6651870640456563,4.091695501730104,12.219873150105709
Test Campaign,2019-08-04,2710,78451.0,25937.0,4216.0,2216.0,1437.0,566.0,340.0,Test,0.053740551427005394,0.3408444022770398,0.3938761308281141,0.08064516129032258,0.6007067137809188,17000.0,4.032258064516129,7.970588235294118,6.273062730627307
Test Campaign,2019-08-05,2297,114295.0,95138.0,5863.0,2106.0,858.0,956.0,768.0,Test,0.051297082112078396,0.14634146341463414,1.1142191142191142,0.13099096025925294,0.803347280334728,38400.0,6.5495480129626475,2.9908854166666665,16.71745755333043
Test Campaign,2019-08-06,2458,42684.0,31489.0,7488.0,1854.0,1073.0,882.0,488.0,Test,0.1754287320775935,0.14329594017094016,0.8219944082013048,0.06517094017094018,0.5532879818594104,24400.0,3.2585470085470085,5.036885245901639,9.926769731489015
Test Campaign,2019-08-07,2838,53986.0,42148.0,4221.0,2733.0,2182.0,1301.0,890.0,Test,0.07818693735412885,0.5169391139540394,0.5962419798350137,0.21085050935797203,0.6840891621829363,44500.0,10.542525467898603,3.18876404494382,15.680056377730796
Test Campaign,2019-08-08,2916,33669.0,20149.0,7184.0,2867.0,2194.0,1240.0,431.0,Test,0.21337135050046036,0.3054008908685969,0.5651777575205105,0.05999443207126949,0.34758064516129034,21550.0,2.9997216035634744,6.765661252900232,7.390260631001372
Test Campaign,2019-08-09,2652,45511.0,31598.0,8259.0,2899.0,2761.0,1200.0,845.0,Test,0.18147261101711673,0.3343019736045526,0.43462513582035495,0.10231262864753603,0.7041666666666667,42250.0,5.115631432376801,3.1384615384615384,15.931372549019608
Test Campaign,2019-08-10,2790,95054.0,79632.0,8125.0,2312.0,1804.0,424.0,275.0,Test,0.0854777284490921,0.22203076923076923,0.23503325942350334,0.033846153846153845,0.6485849056603774,13750.0,1.6923076923076923,10.145454545454545,4.92831541218638
Test Campaign,2019-08-11,2420,83633.0,71286.0,3750.0,2893.0,2617.0,1075.0,668.0,Test,0.0448387598196884,0.6978666666666666,0.4107756973633932,0.17813333333333334,0.6213953488372093,33400.0,8.906666666666666,3.622754491017964,13.801652892561984
Test Campaign,2019-08-12,2831,124591.0,10598.0,8264.0,2081.0,1992.0,1382.0,709.0,Test,0.06632902858151873,0.24104549854791868,0.6937751004016064,0.08579380445304938,0.5130246020260492,35450.0,4.289690222652468,3.9929478138222847,12.522077004592017
Test Campaign,2019-08-13,1972,65827.0,49531.0,7568.0,2213.0,2058.0,1391.0,812.0,Test,0.11496802224011424,0.27193446088794926,0.6758989310009719,0.10729386892177589,0.5837526959022286,40600.0,5.364693446088795,2.4285714285714284,20.58823529411765
Test Campaign,2019-08-14,2537,56304.0,25982.0,3993.0,1979.0,1059.0,779.0,340.0,Test,0.07091858482523444,0.26521412471825695,0.7355996222851747,0.08514901076884548,0.43645699614890887,17000.0,4.257450538442274,7.461764705882353,6.700827749310209
Test Campaign,2019-08-15,2516,94338.0,76219.0,4993.0,2537.0,1609.0,1090.0,398.0,Test,0.052926710339417836,0.32225115161225715,0.6774394033561218,0.07971159623472862,0.3651376146788991,19900.0,3.985579811736431,6.321608040201005,7.909379968203497
Test Campaign,2019-08-16,3076,106584.0,81389.0,6800.0,2661.0,2594.0,1059.0,487.0,Test,0.0637994445695414,0.3814705882352941,0.4082498072474942,0.07161764705882354,0.45986779981114256,24350.0,3.5808823529411766,6.316221765913758,7.916124837451235
Test Campaign,2019-08-17,1968,95843.0,54389.0,7910.0,1995.0,1576.0,383.0,238.0,Test,0.08253080558830587,0.19924146649810368,0.2430203045685279,0.03008849557522124,0.6214099216710183,11900.0,1.5044247787610618,8.268907563025211,6.046747967479675
Test Campaign,2019-08-18,1979,53632.0,43241.0,6909.0,2824.0,2522.0,461.0,257.0,Test,0.1288223448687351,0.3650311188305109,0.18279143536875495,0.037197857866550874,0.5574837310195228,12850.0,1.8598928933275438,7.700389105058366,6.493178372915614
Test Campaign,2019-08-19,2626,22521.0,10698.0,7617.0,2924.0,2801.0,788.0,512.0,Test,0.3382176635140535,0.36773007745831693,0.28132809710817563,0.06721806485492976,0.649746192893401,25600.0,3.360903242746488,5.12890625,9.748667174409748
Test Campaign,2019-08-20,2712,39470.0,31893.0,6050.0,2061.0,1894.0,1047.0,730.0,Test,0.15328097289080314,0.31305785123966945,0.5527983104540655,0.1206611570247934,0.6972301814708691,36500.0,6.033057851239669,3.7150684931506848,13.458702064896755
Test Campaign,2019-08-21,3112,133771.0,109834.0,5471.0,1995.0,1868.0,278.0,245.0,Test,0.04089825148948576,0.34143666605739353,0.14882226980728053,0.04478157558033266,0.8812949640287769,12250.0,2.239078779016633,12.70204081632653,3.9363753213367607
Test Campaign,2019-08-22,2899,34752.0,27932.0,4431.0,1983.0,1131.0,367.0,276.0,Test,0.12750345303867403,0.25524712254570076,0.3244916003536693,0.06228842247799594,0.7520435967302452,13800.0,3.1144211238997968,10.503623188405797,4.760262159365299
Test Campaign,2019-08-23,2407,60286.0,49329.0,5077.0,2592.0,2004.0,632.0,473.0,Test,0.0842152406860631,0.3947212921016348,0.3153692614770459,0.09316525507189286,0.7484177215189873,23650.0,4.658262753594642,5.088794926004228,9.825508932280847
Test Campaign,2019-08-24,2078,36650.0,30489.0,7156.0,2687.0,2427.0,327.0,269.0,Test,0.19525238744884038,0.3391559530463946,0.13473423980222496,0.03759083286752376,0.8226299694189603,13450.0,1.8795416433761878,7.724907063197026,6.472569778633301
Test Campaign,2019-08-25,2928,120576.0,105978.0,3596.0,2937.0,2551.0,1228.0,651.0,Test,0.02982351380042463,0.7093993325917687,0.4813798510388083,0.1810344827586207,0.5301302931596091,32550.0,9.051724137931034,4.497695852534562,11.116803278688524
Test Campaign,2019-08-26,2311,80841.0,61589.0,3820.0,2037.0,1046.0,346.0,284.0,Test,0.04725325020719685,0.27382198952879583,0.33078393881453155,0.0743455497382199,0.8208092485549133,14200.0,3.717277486910995,8.137323943661972,6.144526179143228
Test Campaign,2019-08-27,2915,111469.0,92159.0,6435.0,2976.0,2552.0,992.0,771.0,Test,0.05772905471476374,0.39658119658119656,0.3887147335423197,0.11981351981351981,0.7772177419354839,38550.0,5.9906759906759905,3.780804150453956,13.224699828473414
Test Campaign,2019-08-28,2247,54627.0,41267.0,8144.0,2432.0,1281.0,1009.0,721.0,Test,0.1490837864059897,0.15729371316306484,0.7876658860265418,0.08853143418467584,0.7145688800792864,36050.0,4.426571709233792,3.116504854368932,16.043613707165107
Test Campaign,2019-08-29,2805,67444.0,43219.0,7651.0,1920.0,1240.0,1168.0,677.0,Test,0.11344226321096021,0.16207031760554175,0.9419354838709677,0.08848516533786434,0.5796232876712328,33850.0,4.424258266893217,4.14327917282127,12.067736185383245
Test Campaign,2019-08-30,1977,120203.0,89380.0,4399.0,2978.0,1625.0,1034.0,572.0,Test,0.03659642438208697,0.3694021368492839,0.6363076923076924,0.13002955217094794,0.5531914893617021,28600.0,6.501477608547397,3.4562937062937062,14.466363176530097
